,video_id,Positive Percentage,Channel
273,Xqpf1FxU2q4,46.33,['Mike Boyd']
274,SMinvx9EkPs,58.25,['Kevin Parry']
275,fS5xHHqW-6E,58.0,['XAmbassadorsVEVO']
276,z5eG8fD-hQw,25.42,['MoorInfo']
277,FfRGxN2zeWU,62.2,"[""America's Got Talent""]"
278,dtqlSPt4z20,27.0,['NFL']
279,5eSSL8hRU_E,66.67,['Z100 is New York']
280,WCYHrvLTaqg,58.66,['Will & Grace']
281,KEBDxhqhzF0,59.8,['Simon and Martina']
282,I1P7GoZcZpU,69.44,['Hudson Moore']
283,6z-X4r5JkyI,54.0,['shane']
284,5fsEPf_Uuao,40.4,['LaurDIY']
285,Q1eQw4ycgQM,41.96,['François Gissy']
286,Zmi9iQp6944,78.6,['From Head To Toe']
287,j3MvNvV27hw,76.5,['Colleen Vlogs']
288,ZCQuasiJgYM,34.75,['Engadget']
289,Iq13mG9l6o0,39.6,['Joe Goes']
290,RsG37JcEQNw,49.0,['weezer']
291,iptgKv3iApI,37.95,['GameTrailers']
292,T_t-ByJoDgM,89.67,['Shameless Maya']
293,KFUIVfKTeVg,30.77,['TIME']
294,SHq2qrFUlGY,25.57,['shakiraVEVO']
295,74zJ4scJzNs,28.61,['Cracked']
296,446dbFQEFJU,39.0,['Netflix']
297,equByOb9j5E,21.5,['Guardian Wires']
298,RJuqdTXhDX4,35.6,['EverythingApplePro']
299,2y7rk7eHHAM,41.8,['Late Night with Seth Meyers']
300,Zr22PtGd1So,35.19,['Jimmy Kimmel Live']
301,XvPWUkHjWG0,47.8,['Liza Koshy']
302,6x62O8A8qHw,43.75,['Sony Pictures Entertainment']
303,0501BTnbrxg,52.4,['NFVEVO']
304,lno7AN8hLvQ,54.25,['vlogbrothers']
305,a41k9oJN0FI,45.0,['Jeremy Jahns']
306,3la8bsi4P-c,37.67,['Vox']
307,RsCsBqIlnHw,72.8,['Casey Holmes']
308,gIE105f0ejg,38.6,['TheOdd1sOut']
309,rCo4gIZu0DY,60.0,['Safiya Nygaard']
310,bxgFjzRW6EA,56.4,['SuperCarlinBrothers']
311,30QPEkhcYeQ,35.67,['The Tonight Show Starring Jimmy Fallon']
312,krNNMFpA1wY,51.0,['BBCRadio1VEVO']
313,AAZbviHZVhE,50.6,['iJustine']
314,nnTcCS07DKQ,19.6,['BBC News']
315,uV002CSNDac,35.5,['First We Feast']
316,4cfL9nTNugM,55.0,['NiallHoranVEVO']
317,FgSSk7xLW9w,36.33,['Good Mythical Morning']
318,2zISrf-7V3U,64.6,['Jackie Aina']
319,uWFAD84I66I,59.8,['Grace Helbig']
320,Uc32z-wgxU4,44.4,['GameofThrones']
321,RLmqKBRqyA8,47.69,['Tested']
322,fcubmjoGH7I,53.6,['Patricia Bright']
323,Auu9Sxxt5is,24.0,['Meet Arnold']
324,o97_jDomyqc,51.0,['CarlyRaeJepsenVEVO']
325,xsWO0dRf1p0,61.65,['Mr. Kate']
326,Q07Cp6tswnQ,66.0,['Marques Brownlee']
327,uNseVux0CA4,51.01,['Glam&Gore']
328,7bdZn5MKugo,70.4,['Carli Bybel']
329,_5ZrSKpbdSg,48.62,['NASA Jet Propulsion Laboratory']
330,oqmSuPJfvJo,50.8,['ThreadBanger']
331,4Rg-YN7XFcM,78.05,['Thomas Rhett']
332,CuXq1hOa8_Y,23.2,['ABC News']
333,EbthMC6spAE,62.8,['Nerdwriter1']
334,9HIkG6vMk6E,60.8,['Bart & Geo']
335,hMfIIxf8ADo,73.5,['pixiwoo']
336,WpddITk3bK8,44.6,['People are Awesome']
337,gzh6tcMsyoQ,57.83,['BBC Radio 1']
338,pOZ5FrTMQMA,68.6,['GraceVanderWaalVEVO']
339,oK4me2hI_Jo,63.25,['Tati']
340,YrTKLZi6rqk,56.75,['Madeyewlook']
341,KCiahBMis1E,44.85,['Subaru']
342,hqHlIRZnF38,51.25,['JustineReed97']
343,3TDk34hnSXc,41.75,['Half as Interesting']
344,9lzPw4EOqto,25.13,['Great Big Story']
345,sgBGvgxuXvQ,63.33,['CupcakeJemma']
346,n4wFyyW71zs,47.75,['R5VEVO']
347,EwujR1ARsog,0.0,['Ford Motor Company']
348,K5-f1Bnltu8,38.67,['King Krule']
349,NWwBpOUkx9g,36.73,['Motor Trend Channel']
350,JJc1Tqcu-8E,53.0,['ScreenJunkies News']
351,bAMinWdgUCg,70.33,['JamesTWVEVO']
352,GdoNKbGQs9U,48.69,['TheEllenShow']
353,mYphOR0Jegw,63.0,['AvE']
354,5jRYB3nGxmc,47.47,['The New York Times']
355,yFMZl_nYkbw,44.75,['AlexAionoVEVO']
356,j9g7FpCSF5Y,45.88,['SanCiscoOfficial']
357,tSwWCJHHTGc,44.0,['SciShow']
358,pyZVUC5jeVw,37.5,['Variety']
359,C9LMDZTg17Y,53.0,['BonnieMcKeeVEVO']
360,6SaFJLHa-Vk,39.0,['the Hacksmith']
361,_pc1kON-doU,53.33,['BuzzFeedVideo']
362,I0Se3ce433Q,30.5,['Jake Paul']
363,LBLGo2y_BBU,39.17,['Simply Nailogical']
364,dYstFRuPz8A,37.83,['ScreenPrism']
365,d8U5funnyA8,36.83,['Austin Evans']
366,MeGyZJiB-FQ,30.4,['Wassabi Productions']
367,p_P9J97ELlg,67.0,['Nicole Guerriero']
368,gDFZS0BVsBY,37.83,['Looper']
369,GyxgtAwn34A,52.8,['Lele Pons']
370,nivfxoep6Rs,57.17,['RomanAtwoodVlogs']
371,bcouc6NW4aM,44.56,['NBC Sports']
372,XIUGqfTkaWk,61.0,['thataylaa']
373,ZT1JsE_YbFs,51.8,['Rosanna Pansino']
374,XlXBLvT9Vj0,26.0,['ESPN']
375,Q2Ku7ELCBag,43.0,['NikkieTutorials']
376,t4or1t4iHK0,37.8,['Team Coco']
377,LP4qYyTPyl4,58.0,['leighannsays']
378,rFFo-0v_vi4,54.64,['The Scran Line']
379,zJqk0iM96iE,40.75,['Joanna Hausmann']
380,2Hz4sDjXPQY,32.4,['20th Century Fox']
381,np1RFbKh5a0,59.33,['ScreenJunkies News']
382,wIml3h1rHVc,32.5,['Genius']
383,0qfgZJNCCJQ,40.5,['Ranz Kyle']
384,H7ojygIbMYk,56.15,['LADbible']
385,a6y01PSb6qU,60.09,['Skunk Bear']
386,Y7tLoqNjkks,0.0,['RAW']
387,OWRufUWhSwM,42.47,['TODAY']
388,bAdqazixuRY,62.33,['Nigel John Stanford']
389,Cz3Coxi9D3E,48.79,['JacobBanksVEVO']
390,V-_HM2bRa0E,65.0,['CraigDavidVEVO']
391,cPZ3u1z8kU0,64.71,['Emmalyn Estrada']
392,pe3KSYqPIgo,37.5,['The Film Theorists']
393,xPS7bqBePSs,66.33,['ITSLEONLEONVEVO']
394,GjJC5e4VpDY,56.52,['james doakes']
395,cviyIIvBlto,100.0,['Kerry Wong']
396,nRGz2md8l28,36.0,['Gordon Ramsay']
397,0afzkLHTUK8,41.5,['Netflix']
398,YKgY0zQnqcU,44.33,['ZwanMonster']
399,R_jKUDmJs1Y,79.76,['nigahiga']
400,xyNX4eH17uA,35.8,['ReasonTV']
401,sD6RIeNP41I,41.33,['ESPN']
402,9y62mZn0LXQ,32.06,['Matthias']
403,oKI4EAIcaLw,39.5,['CaseyNeistat']
404,DZHAB3PGlfU,55.51,['Variety']
405,JvkLPE8efME,65.0,['Desi Perkins']
406,nJSrCX1U1hg,45.0,['Rclbeauty101']
407,ugWImY8VMzI,64.5,['Cub Studio']
408,DyLE5nI6bXw,42.42,['TV Guide']
409,0H3MirHyX2w,39.0,['Inside Edition']
410,SF-psoWdSpo,51.0,['Studio C']
411,c1QGynzVbs4,43.33,['PeopleTV']
412,c8xGJju2x20,24.43,['TUMuenchen1']
413,MXtDj0eGhtw,15.25,['How Ridiculous']
414,o3_byIkXF7Q,44.0,['NASA Jet Propulsion Laboratory']
415,ioFUoNlWR1o,24.03,['Washington Post']
416,fTW7EgoKpSE,34.88,['Cigna']
417,5F_utV45MT0,38.0,['TIME']
418,hg5yXLhl3CQ,42.86,['Alyosha Tanetović']
419,jjb77v3LX_s,19.0,['Great Big Story']
420,p7sooI96zPI,0.0,['Geezus66']
421,wOjjdttsHy4,51.22,['The Solomon Society']
422,iwm5-I9Ay8M,44.0,['INSIDER']
423,BMCLQf75ev0,68.0,['Victor Hugo GP']
424,jLa9wZHiqxg,0.0,['Rad Universe']
425,Tm8LGxTLtQk,42.83,['Linkin Park']
426,J_ub7Etch2U,48.0,['SamSmithWorldVEVO']
427,TV2HTSV3w40,46.8,['CineFix']
428,MBdVXkSdhwU,33.25,['ibighit']
429,SLoQoYi3P5U,42.0,['TV Guide']
430,CDfhFfKSohc,32.19,['Dan Helmer for Congress']
431,zTTaFg2Sq9Y,32.52,['Open Road Films']
432,FZrrfGfI3uM,38.5,['BuzzFeedBlue']
433,kcTdfHXdRXo,39.6,['Rooster Teeth']
434,0R7MQwmbiQc,45.36,['Jaiden Animations']
435,bvuQ0ZusV8Q,42.25,['Good Mythical Morning']
436,PKv4LdN_JYs,32.8,['CBS']
437,gs9AV6BKh74,35.0,['The Infographics Show']
438,klSWPvDCYoI,43.0,['The Tonight Show Starring Jimmy Fallon']
